title,subtitle,price,image,tag,price_range
Nike Pegasus Trail 5 GORE-TEX SP,Men's Waterproof Trail-Running Shoes,240,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c7f038ed-c708-47e7-a0a0-b9ddf06a3ecc/REACTX+PEGASUS+TRAIL+5+GTX+SP.png",Available in SNKRS,expensive
Giannis Freak 6,Basketball Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/30ff398c-2abe-43dc-b86a-4592b7e5689a/GIANNIS+FREAK+6.png",,affordable
Nike C1TY 'Sand',Shoes,150,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ec949102-31e6-4a0d-bd7e-4293b7ae1ccd/NIKE+C1TY.png",,affordable
"Ja 2 ""Scratch""",Basketball Shoes,180,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a42f9d8d-6352-4b52-8def-2a7367ca60ea/JA+2+SCRATCH.png",,affordable
Nike Air Zoom Spiridon,Men's Shoes,250,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/840a01f9-dc6b-4ec9-8bf0-5c2f6356defc/AIR+ZOOM+SPIRIDON.png",Available in SNKRS,expensive
Nike Vomero 18 SE,Men's Road Running Shoes,230,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/19fd697e-5604-476a-9885-fee542fb2624/NIKE+VOMERO+18+SE.png",,expensive
Nike Vaporfly 4,Men's Road Racing Shoes,370,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5fbd53d2-3e31-4947-9150-27ab86b3edc2/ZOOMX+VAPORFLY+NEXT%25+4+PRM.png",,expensive
Nike Pegasus 41,Men's Road Running Shoes,210,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/40af7803-7b83-45fb-96bc-69a9760c2ac6/AIR+ZOOM+PEGASUS+41.png",,expensive
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6705d28f-f267-48e7-88ba-1b8b8322d229/AIR+MAX+DN8.png",Available in SNKRS,expensive
Air Jordan 11 Retro Low 'Bred',Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/09681555-3acd-43f7-ad05-15707433f3c8/AIR+JORDAN+11+RETRO+LOW.png",Available in SNKRS,expensive
